name,time/op (ns/op),±
ChanThroughput/type:thp2;pCnt:2;cCnt:8;buf:64-8,8.78680E+00,3%
ChanThroughput/type:thp2;pCnt:2;cCnt:8;buf:128-8,5.52500E+00,6%
ChanThroughput/type:thp2;pCnt:2;cCnt:8;buf:256-8,3.79820E+00,1%
ChanThroughput/type:thp2;pCnt:2;cCnt:8;buf:512-8,2.81060E+00,3%
ChanThroughput/type:thp2;pCnt:2;cCnt:8;buf:1024-8,2.27220E+00,3%
ChanThroughput/type:standard;pCnt:4;cCnt:8;buf:1-8,2.35200E+02,0%
ChanThroughput/type:standard;pCnt:4;cCnt:8;buf:2-8,2.06540E+02,0%
ChanThroughput/type:standard;pCnt:4;cCnt:8;buf:4-8,1.76420E+02,3%
ChanThroughput/type:standard;pCnt:4;cCnt:8;buf:8-8,1.49940E+02,0%
ChanThroughput/type:standard;pCnt:4;cCnt:8;buf:16-8,1.29275E+02,0%
ChanThroughput/type:standard;pCnt:4;cCnt:8;buf:32-8,1.22640E+02,4%
ChanThroughput/type:standard;pCnt:4;cCnt:8;buf:64-8,1.05100E+02,0%
ChanThroughput/type:standard;pCnt:4;cCnt:8;buf:128-8,9.79860E+01,1%
ChanThroughput/type:standard;pCnt:4;cCnt:8;buf:256-8,8.97720E+01,1%
ChanThroughput/type:standard;pCnt:4;cCnt:8;buf:512-8,8.35960E+01,1%
ChanThroughput/type:standard;pCnt:4;cCnt:8;buf:1024-8,8.09900E+01,2%
ChanThroughput/type:thp;pCnt:4;cCnt:8;buf:1-8,3.02040E+02,2%
ChanThroughput/type:thp;pCnt:4;cCnt:8;buf:2-8,1.60560E+02,6%
ChanThroughput/type:thp;pCnt:4;cCnt:8;buf:4-8,8.48000E+01,5%
ChanThroughput/type:thp;pCnt:4;cCnt:8;buf:8-8,3.74175E+01,1%
ChanThroughput/type:thp;pCnt:4;cCnt:8;buf:16-8,2.43140E+01,8%
ChanThroughput/type:thp;pCnt:4;cCnt:8;buf:32-8,1.35500E+01,7%
ChanThroughput/type:thp;pCnt:4;cCnt:8;buf:64-8,7.52620E+00,3%
ChanThroughput/type:thp;pCnt:4;cCnt:8;buf:128-8,4.32120E+00,3%
ChanThroughput/type:thp;pCnt:4;cCnt:8;buf:256-8,3.79060E+00,4%
ChanThroughput/type:thp;pCnt:4;cCnt:8;buf:512-8,3.56080E+00,2%
ChanThroughput/type:thp;pCnt:4;cCnt:8;buf:1024-8,2.97340E+00,1%
ChanThroughput/type:thp2;pCnt:4;cCnt:8;buf:1-8,3.78060E+02,6%
ChanThroughput/type:thp2;pCnt:4;cCnt:8;buf:2-8,1.92820E+02,6%
ChanThroughput/type:thp2;pCnt:4;cCnt:8;buf:4-8,9.48400E+01,3%
ChanThroughput/type:thp2;pCnt:4;cCnt:8;buf:8-8,4.94920E+01,9%
ChanThroughput/type:thp2;pCnt:4;cCnt:8;buf:16-8,2.47740E+01,10%
ChanThroughput/type:thp2;pCnt:4;cCnt:8;buf:32-8,1.35980E+01,8%
ChanThroughput/type:thp2;pCnt:4;cCnt:8;buf:64-8,8.01500E+00,3%
ChanThroughput/type:thp2;pCnt:4;cCnt:8;buf:128-8,5.53680E+00,1%
ChanThroughput/type:thp2;pCnt:4;cCnt:8;buf:256-8,3.85360E+00,1%
ChanThroughput/type:thp2;pCnt:4;cCnt:8;buf:512-8,2.81940E+00,1%
ChanThroughput/type:thp2;pCnt:4;cCnt:8;buf:1024-8,2.04500E+00,2%
ChanThroughput/type:standard;pCnt:8;cCnt:8;buf:1-8,1.96640E+02,0%
ChanThroughput/type:standard;pCnt:8;cCnt:8;buf:2-8,1.69980E+02,3%
ChanThroughput/type:standard;pCnt:8;cCnt:8;buf:4-8,1.44160E+02,7%
ChanThroughput/type:standard;pCnt:8;cCnt:8;buf:8-8,1.22780E+02,3%
ChanThroughput/type:standard;pCnt:8;cCnt:8;buf:16-8,1.06580E+02,1%
ChanThroughput/type:standard;pCnt:8;cCnt:8;buf:32-8,1.04780E+02,1%
ChanThroughput/type:standard;pCnt:8;cCnt:8;buf:64-8,8.93720E+01,0%
ChanThroughput/type:standard;pCnt:8;cCnt:8;buf:128-8,8.65480E+01,1%
ChanThroughput/type:standard;pCnt:8;cCnt:8;buf:256-8,8.24280E+01,1%
ChanThroughput/type:standard;pCnt:8;cCnt:8;buf:512-8,8.00320E+01,1%
ChanThroughput/type:standard;pCnt:8;cCnt:8;buf:1024-8,7.87680E+01,2%
ChanThroughput/type:thp;pCnt:8;cCnt:8;buf:1-8,2.66420E+02,1%
ChanThroughput/type:thp;pCnt:8;cCnt:8;buf:2-8,1.30240E+02,17%
ChanThroughput/type:thp;pCnt:8;cCnt:8;buf:4-8,7.08280E+01,20%
ChanThroughput/type:thp;pCnt:8;cCnt:8;buf:8-8,3.97160E+01,3%
ChanThroughput/type:thp;pCnt:8;cCnt:8;buf:16-8,2.18060E+01,6%
ChanThroughput/type:thp;pCnt:8;cCnt:8;buf:32-8,1.21740E+01,6%
ChanThroughput/type:thp;pCnt:8;cCnt:8;buf:64-8,7.07500E+00,3%
ChanThroughput/type:thp;pCnt:8;cCnt:8;buf:128-8,4.51040E+00,5%
ChanThroughput/type:thp;pCnt:8;cCnt:8;buf:256-8,3.99700E+00,7%
ChanThroughput/type:thp;pCnt:8;cCnt:8;buf:512-8,3.52300E+00,2%
ChanThroughput/type:thp;pCnt:8;cCnt:8;buf:1024-8,3.09700E+00,2%
ChanThroughput/type:thp2;pCnt:8;cCnt:8;buf:1-8,3.39200E+02,6%
ChanThroughput/type:thp2;pCnt:8;cCnt:8;buf:2-8,1.70760E+02,8%
ChanThroughput/type:thp2;pCnt:8;cCnt:8;buf:4-8,8.36600E+01,8%
ChanThroughput/type:thp2;pCnt:8;cCnt:8;buf:8-8,4.37840E+01,7%
ChanThroughput/type:thp2;pCnt:8;cCnt:8;buf:16-8,2.32280E+01,8%
ChanThroughput/type:thp2;pCnt:8;cCnt:8;buf:32-8,1.22840E+01,3%
ChanThroughput/type:thp2;pCnt:8;cCnt:8;buf:64-8,7.71640E+00,1%
ChanThroughput/type:thp2;pCnt:8;cCnt:8;buf:128-8,5.18960E+00,2%
ChanThroughput/type:thp2;pCnt:8;cCnt:8;buf:256-8,3.71200E+00,2%
ChanThroughput/type:thp2;pCnt:8;cCnt:8;buf:512-8,2.67420E+00,1%
ChanThroughput/type:thp2;pCnt:8;cCnt:8;buf:1024-8,1.95980E+00,2%
ChanThroughput/type:standard;pCnt:16;cCnt:8;buf:1-8,2.03620E+02,0%
ChanThroughput/type:standard;pCnt:16;cCnt:8;buf:2-8,1.78600E+02,1%
ChanThroughput/type:standard;pCnt:16;cCnt:8;buf:4-8,1.53100E+02,3%
ChanThroughput/type:standard;pCnt:16;cCnt:8;buf:8-8,1.28875E+02,1%
ChanThroughput/type:standard;pCnt:16;cCnt:8;buf:16-8,1.12480E+02,1%
ChanThroughput/type:standard;pCnt:16;cCnt:8;buf:32-8,1.04100E+02,4%
ChanThroughput/type:standard;pCnt:16;cCnt:8;buf:64-8,9.25280E+01,1%
ChanThroughput/type:standard;pCnt:16;cCnt:8;buf:128-8,8.74880E+01,4%
ChanThroughput/type:standard;pCnt:16;cCnt:8;buf:256-8,8.26760E+01,1%
ChanThroughput/type:standard;pCnt:16;cCnt:8;buf:512-8,8.09440E+01,1%
ChanThroughput/type:standard;pCnt:16;cCnt:8;buf:1024-8,7.74800E+01,2%
ChanThroughput/type:thp;pCnt:16;cCnt:8;buf:1-8,2.76840E+02,2%
ChanThroughput/type:thp;pCnt:16;cCnt:8;buf:2-8,1.28180E+02,14%
ChanThroughput/type:thp;pCnt:16;cCnt:8;buf:4-8,6.60880E+01,14%
ChanThroughput/type:thp;pCnt:16;cCnt:8;buf:8-8,3.75500E+01,16%
ChanThroughput/type:thp;pCnt:16;cCnt:8;buf:16-8,2.13200E+01,7%
ChanThroughput/type:thp;pCnt:16;cCnt:8;buf:32-8,1.28760E+01,8%
ChanThroughput/type:thp;pCnt:16;cCnt:8;buf:64-8,7.29360E+00,8%
ChanThroughput/type:thp;pCnt:16;cCnt:8;buf:128-8,4.65780E+00,5%
ChanThroughput/type:thp;pCnt:16;cCnt:8;buf:256-8,4.16000E+00,4%
ChanThroughput/type:thp;pCnt:16;cCnt:8;buf:512-8,3.61520E+00,2%
ChanThroughput/type:thp;pCnt:16;cCnt:8;buf:1024-8,3.18720E+00,1%
ChanThroughput/type:thp2;pCnt:16;cCnt:8;buf:1-8,3.31960E+02,3%
ChanThroughput/type:thp2;pCnt:16;cCnt:8;buf:2-8,1.65280E+02,7%
ChanThroughput/type:thp2;pCnt:16;cCnt:8;buf:4-8,8.39160E+01,4%
ChanThroughput/type:thp2;pCnt:16;cCnt:8;buf:8-8,4.33060E+01,5%
ChanThroughput/type:thp2;pCnt:16;cCnt:8;buf:16-8,2.18920E+01,2%
ChanThroughput/type:thp2;pCnt:16;cCnt:8;buf:32-8,1.26340E+01,5%
ChanThroughput/type:thp2;pCnt:16;cCnt:8;buf:64-8,7.38340E+00,7%
ChanThroughput/type:thp2;pCnt:16;cCnt:8;buf:128-8,5.24600E+00,2%
ChanThroughput/type:thp2;pCnt:16;cCnt:8;buf:256-8,3.74560E+00,1%
ChanThroughput/type:thp2;pCnt:16;cCnt:8;buf:512-8,2.62640E+00,1%
ChanThroughput/type:thp2;pCnt:16;cCnt:8;buf:1024-8,1.94360E+00,3%

name,alloc/op (B/op),±
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:1-8,0.00000E+00
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:2-8,0.00000E+00
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:4-8,0.00000E+00
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:8-8,0.00000E+00
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:16-8,0.00000E+00
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:32-8,0.00000E+00
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:64-8,0.00000E+00
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:128-8,0.00000E+00
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:256-8,0.00000E+00
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:512-8,0.00000E+00
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:1024-8,0.00000E+00
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:1-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:2-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:4-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:8-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:16-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:32-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:64-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:128-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:256-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:512-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:1024-8,8.00000E+00,0%
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:1-8,2.40000E+01,0%
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:2-8,1.20000E+01,0%
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:4-8,6.00000E+00,0%
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:8-8,3.00000E+00,0%
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:16-8,1.00000E+00,0%
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:32-8,0.00000E+00
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:64-8,0.00000E+00
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:128-8,0.00000E+00
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:256-8,0.00000E+00
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:512-8,0.00000E+00
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:1024-8,0.00000E+00
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:1-8,0.00000E+00
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:2-8,0.00000E+00
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:4-8,0.00000E+00
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:8-8,0.00000E+00
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:16-8,0.00000E+00
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:32-8,0.00000E+00
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:64-8,0.00000E+00
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:128-8,0.00000E+00
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:256-8,0.00000E+00
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:512-8,0.00000E+00
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:1024-8,0.00000E+00
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:1-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:2-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:4-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:8-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:16-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:32-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:64-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:128-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:256-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:512-8,8.00000E+00,0%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:1024-8,8.00000E+00,0%
ChanThroughput/type:thp2;pCnt:2;cCnt:8;buf:1-8,2.40000E+01,0%
